week_label,week_start,week_end,period_label,actions,results,plan_to_do,requests,weekly_conversions_reported,weekly_cpa_reported
29.09-05.10,2025-09-29,2025-10-05,opening_overlap_week,"Робота з бюджетом, контроль результатів, регулярний моніторинг.","32 конверсії за тиждень, CPA 35; за місяць 62 конверсії, CPA 69. Один слабший тиждень не зіпсував загальну ефективність.",Продовжити оптимізацію та моніторинг.,,32.0,35.0
06.10-12.10,2025-10-06,2025-10-12,in_quarter_week,"Робота з бюджетом, стратегією ставок і ключовими словами.","26 конверсій, CPA 32.",Продовжити оптимізацію кампаній.,,26.0,32.0
13.10-19.10,2025-10-13,2025-10-19,in_quarter_week,Перевірка трекінгу та бюджетів.,"7 конверсій, CPA 136. Попит був відчутно слабший, ніж попереднього тижня.",Стабілізувати результат і моніторити попит.,,7.0,136.0
20.10-26.10,2025-10-20,2025-10-26,in_quarter_week,Робота з трекінгом.,CPA 71.,Продовжити оптимізацію.,,,71.0
27.10-02.11,2025-10-27,2025-11-02,in_quarter_week,Оновлення bidding strategy.,"29 конверсій, CPA 35; за місяць 92 конверсії, CPA 46. Ознак click fraud не виявлено.",Продовжити роботу зі ставками.,,29.0,35.0
03.11-09.11,2025-11-03,2025-11-09,in_quarter_week,Робота з трекінгом.,"13 конверсій, CPA 84.",Продовжити оптимізацію.,,13.0,84.0
10.11-16.11,2025-11-10,2025-11-16,in_quarter_week,"Geo exclusions, розширення language targeting, оновлення PMax asset groups.","26 конверсій, CPA 51.",Далі чистити трафік і доопрацьовувати PMax.,,26.0,51.0
17.11-23.11,2025-11-17,2025-11-23,in_quarter_week,Опрацювання negative keywords.,"23 конверсії, CPA 48.",Продовжити чистку пошукових запитів.,,23.0,48.0
24.11-30.11,2025-11-24,2025-11-30,in_quarter_week,Робота з трекінгом.,"17 конверсій, CPA 64; за місяць 88 конверсій, CPA 56.",Утримати керованість CPA.,,17.0,64.0
01.12-07.12,2025-12-01,2025-12-07,in_quarter_week,Робота з трекінгом.,"41 конверсія, CPA 29. Один із найсильніших тижнів кварталу.",Масштабувати сильні налаштування без втрати якості.,,41.0,29.0
08.12-14.12,2025-12-08,2025-12-14,in_quarter_week,Робота з трекінгом.,"14 конверсій, CPA 70.",Перевірити джерела просідання.,,14.0,70.0
15.12-21.12,2025-12-15,2025-12-21,in_quarter_week,Робота з трекінгом.,"21 конверсія, CPA 77. Попит майже подвоївся, але це не дало пропорційного росту конверсій.",Перевірити delayed conversions і прямі замовлення.,,21.0,77.0
22.12-28.12,2025-12-22,2025-12-28,in_quarter_week,Опрацювання ключових слів.,"38 конверсій, CPA 46.",Продовжити чистку семантики.,,38.0,46.0
29.12-04.01,2025-12-29,2026-01-04,closing_overlap_week,Тиждень включено за правилом overlap week.,У квартальному звіті враховано окремо як перехідний тиждень між Q4 2025 і Q1 2026.,Тримати окреме маркування в аналітиці.,,,
